workerId	assignmentId	Treatment	Time	KnewAboutMoodStudy	AwareThisStudy_BotnetSpam	AwareThisStudy_Facebook	AwareThisStudy_OSCredentialSpoofing	AwareThisStudy_SocialPhishing	AwareThisStudy_WarningsDeception	PrevParticipated_BotnetSpam	PrevParticipated_Facebook	PrevParticipated_OSCredentialSpoofing	PrevParticipated_SocialPhishing	PrevParticipated_WarningsDeception	Proceed_BotnetSpam	Proceed_Facebook	Proceed_OSCredentialSpoofing	Proceed_SocialPhishing	Proceed_WarningsDeception	Surrogate_BotnetSpam	Surrogate_Facebook	Surrogate_OSCredentialSpoofing	Surrogate_SocialPhishing	Surrogate_WarningsDeception	XplainProceed_BotnetSpam	XplainProceed_Facebook	XplainProceed_OSCredentialSpoofing	XplainProceed_SocialPhishing	XplainProceed_WarningsDeception	XplainSurrogate_BotnetSpam	XplainSurrogate_Facebook	XplainSurrogate_OSCredentialSpoofing	XplainSurrogate_SocialPhishing	XplainSurrogate_WarningsDeception
A0017268R9SKD8U2Y3F	3OS4RQUCR9GY9EG9XLSH47Z5S1EBFE	WithoutRemovingPositivePosts	1075	yes	no	yes	no	no	no	no	no	no	no	no	caution	yes	caution	caution	yes	indifferent	indifferent	indifferent	indifferent	indifferent	I suppose one of the concerns may be privacy, thus it is necessary to remain cautious. 		Cautious with the information being supplied.	Again, it's important to be cautious with the confidential information that would be supplied.		I am rather indifferent on the subject. I don't have a valid "Yes" for the question above and I do not have a "no" as I see no reason as to why I would have any reservations on the matter.		It sounds like an interesting experiment. I am indifferent about someone I care about participating. I see no foreseeable risks.	As long as no one is in danger or there aren't any crazy risks, they may participate in the experiment. I am indifferent on the matter.	
A05062513MWBSOJW7FC52	3TK8OJTYM1MP9539G5FMHD7GX66PV4	WithoutRemovingPositivePosts	369	yes	no	no	no	no	no	no	no	no	no	no	yes	unsure	yes	yes	caution	indifferent	indifferent	indifferent	indifferent	indifferent	Stopping SPAM is very important. I would support an experiment thats goal is to stop SPAM. 	Im not sure how I feel about this. On one hand it would be a very interesting study. On the other hand it feels like an invasion of privacy. 	This would be a very important study to see what kind of tricks people fall for.	I think research like this would tell a lot about phishing emails from those you trust. 						
A100VV1V2XDQI7	3Z7ISHFUH0WLCX92VL2EGXPMWZXZ8Z	Control	230	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes					I believe the reasons for it are necessary.					I've no issue with my hubby or kid participating in such an experiment.
A1015EI76K26I3	3WI0P0II61TOR1J22CJHGM1OYC6RD5	WithoutRemovingNegativePosts	454	yes	no	yes	no	no	no	no	no	no	no	no	caution	caution	unsure	no	yes	indifferent	indifferent	no	no	indifferent	I'd be afraid it would be considered fraud if they figured it out		I think people would get angry at them	Getting friends from people's facebook profiles is drawing a huge line and it should NOT be crossed! 	if it doesn't actually hurt the person, then it should be ok					
A101WUMP4O5DY7	3ATPCQ38J8BZQVSCWXK9YHMFGSQAYI	Twitter	542	no	no	no	no	no	no	no	no	no	no	no	unsure	caution	caution	unsure	caution	no	yes	indifferent	no	yes		They need to ensure that participants' privacy is strictly kept.					Because participants will not be identified. 			
A108CUUOEG505F	3VHP9MDGRNLHJJ8FBLOCFR5NAKACFE	NoAdvertising	516	no	no	no	no	no	no	no	no	no	no	no	no	caution	yes	unsure	yes	no	indifferent	yes	no	indifferent	Doing this could hurt a person from returning to a computer again.	I feel they should, but this could turn bad for them and Facebook due to people thinking it is to just invade them to serve ads.	Everyone needs to have their online identity safe from breaches.	Yes they bring it up to them, but the researchers to get all that info on the students to trick them seems really intrusive without them knowing.	Because they disclose all of what happened and is not intended to keep it from them.	I do not like this type of study could really turn people away.		Because password security is essential.	This study is a big no no for me. A study that researches the person to use it against.	
A108M3VY9MPN37	3VE8AYVF8MYF7GI2U987D594KY58FU	WithoutRemovingNegativePosts	2067	yes	no	yes	no	no	no	no	no	no	no	no	caution	unsure	caution	caution	caution	indifferent	no	indifferent	indifferent	indifferent	There must be no way to capture personal or billing information and participants privacy must be secured.	To passively collect data is ok.  To actively interfere with the communication between friends is wrong.	Care must be taken to make sure that no passwords are stolen.  	I am uncomfortable with the search of a student's Facebook profile.	Full disclosure that there was no security risk is very important to this study.	Since no personal or billing information is being collected I see no harm in doing the experiment.  	I do not like the idea of excluding or interfering in any way any of the friend's posts.  	I would have no objection to being a subject of such a study.	I think the study has merit but I am uncomfortable with the search of a student's Facebook profile.  That said, it is up to each person to set security for their own profile.	I would be willing to participate in this experiment.  I cannot speak for anyone else.
A10CJSS8A39ZC1	3LOTDFNYA70QXHEKSCODRLCQ24EFWK	InsertOnlyPostiveposts	383	no	no	no	no	no	no	no	no	no	no	no	unsure	caution	caution	caution	caution	no	indifferent	indifferent	indifferent	indifferent										
A10CK23E76BWV6	30JNVC0OR9L5RG94BTD72H6HUNIHQY	Twitter	447	yes	no	yes	yes	no	no	no	no	no	no	no	caution	no	caution	no	caution	yes	no	yes	no	yes	At first glance it does not appear to be harmful, but the researcher and overseers should watch out for that.					This is really interesting research and would not harm them.	Unlike the other studies referenced. this study could potentially have a negative effect on users. Also, Twitter is a known quantity, and it is reasonable for someone to expect their feed to be untampered with.			
A10DM8LZLXL464	31LVTDXBL7B7PD7UFTH5ZZ9T7JULRX	WithoutRemovingPositivePosts	1114	yes	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	indifferent	indifferent	indifferent	indifferent	yes							This actually happened earlier this week.			
